Date;TeamHomeStr;TeamAwayStr;StartTeamHome;StartTeamAway;SubsTeamHome;SubsTeamAway;Result;Total2.5;Total1.5;League;Time;TeamHome;TeamAway;ManagerHome;ManagerAway;FormationHome;FormationAway;Stadium;Referee;RatingStartTeamHome;RatingSubstitutionHome;RatingStartTeamAway;RatingSubstitutionAway;RatingStartTeamHome3;RatingSubstitutionHome3;RatingStartTeamAway3;RatingSubstitutionAway3;GPP_StartHome;GPP_SubsHome;GPP_StartAway;GPP_SubsAway;GoalsTeamHome;AssistsTeamHome;GoalsTeamAway;AssistsTeamAway;FormTeamHome3;FormTeamAway3;FormTeamHome6;FormTeamAway6;RatingTeamHome;RatingTeamAway;TotalShotsHome;TotalShotsAway;PossessionHome;PossessionAway;PassAccuracyHome;PassAccuracyAway;DribblesHome;DribblesAway;AerialsWonHome;AerialsWonAway;TacklesHome;TacklesAway;CornersHome;CornersAway;DispossessedHome;DispossessedAway;YellowCardHome;YellowCardAway;RedCardHome;RedCardAway;RatingTeamHomeA;RatingTeamAwayA;TotalShotsHomeA;TotalShotsAwayA;PossessionHomeA;PossessionAwayA;PassAccuracyHomeA;PassAccuracyAwayA;DribblesHomeA;DribblesAwayA;AerialsWonHomeA;AerialsWonAwayA;TacklesHomeA;TacklesAwayA;CornersHomeA;CornersAwayA;DispossessedHomeA;DispossessedAwayA;YellowCardHomeA;YellowCardAwayA;RedCardHomeA;RedCardAwayA;RatingTeamHome3;RatingTeamAway3;TotalShotsHome3;TotalShotsAway3;PossessionHome3;PossessionAway3;PassAccuracyHome3;PassAccuracyAway3;DribblesHome3;DribblesAway3;AerialsWonHome3;AerialsWonAway3;TacklesHome3;TacklesAway3;CornersHome3;CornersAway3;DispossessedHome3;DispossessedAway3;YellowCardHome3;YellowCardAway3;RedCardHome3;RedCardAway3;RatingTeamHome3A;RatingTeamAway3A;TotalShotsHome3A;TotalShotsAway3A;PossessionHome3A;PossessionAway3A;PassAccuracyHome3A;PassAccuracyAway3A;DribblesHome3A;DribblesAway3A;AerialsWonHome3A;AerialsWonAway3A;TacklesHome3A;TacklesAway3A;CornersHome3A;CornersAway3A;DispossessedHome3A;DispossessedAway3A;YellowCardHome3A;YellowCardAway3A;RedCardHome3A;RedCardAway3A;PHome;WHome;DHome;LHome;GFHome;GAHome;GDHome;PointsHome;PlaceHome;PAway;WAway;DAway;LAway;GFAway;GAAway;GDAway;PointsAway;PlaceAway;FutureTeamHome;FuturePlaceTeamHome;FutureStatusTeamHome;FutureTeamAway;FuturePlaceTeamAway;FutureStatusTeamAway
17-Mar-20;Goztepe;Rizespor;Beto, Murat Paluli, Titi, Celso Borges, Berkan Emir, André Castro, Soner Aydogdu, Halil Akbunar, Deniz Kadah, Stefano Napoleoni, Cameron Jerome;Gökhan Akkan, Orhan Ovacikli, Montassar Talbi, Burak Albayrak, Dario Melnjak, Amedej Vetrih, Oguz Guctekin, Fernando Boldrin, Denys Harmash, Braian Samudio, Milan Skoda;Yalcin Kayan, Kamil Wilczek, Márcio Mossoró, Wallace Reis, Andre Biyogo Poko, Zlatko Tripic, Lamine Gassama, Hüseyin Bulut, Metin Yildirim, Mehmet Goktug Bakirbas;Andriy Boryachuk, Ogulcan Caglayan, Yan Sasse, Atakan Akkaynak, Ivanildo Fernandes, Tarik Cetin, Zafer Görgen, Tunay Torun, Abdullah Durak, Alberk Koç;1;0;1;4;17.0;109;110;285;286;5;5;142;143;6.040;4.789;5.755;4.335;5.742;4.560;5.770;4.133;22.636;14.100;20.273;14.700;20;12;23;8;0.0;22.22;38.89;11.11;6.606;6.492;12.818;10.500;47.991;47.108;78.818;77.750;9.091;10.167;14.000;17.500;15.273;15.833;5.000;4.167;6.273;10.333;26.000;31.000;2.000;2.000;6.650;6.615;10.659;11.750;47.335;48.377;78.231;78.452;9.902;10.122;15.643;19.173;16.708;16.301;4.285;4.314;6.922;10.590;28.000;29.500;1.500;2.000;6.513;6.323;13.667;13.000;51.667;56.367;82.000;83.000;9.667;9.000;11.333;20.000;15.000;17.000;6.000;4.000;5.000;11.333;7.000;9.000;0.000;2.000;6.588;6.510;12.167;13.500;52.584;51.900;83.166;81.834;10.834;9.666;13.333;18.834;14.000;16.334;5.500;3.667;5.000;9.666;5.000;6.500;0.000;1.000;25;9;7;9;29;30;-1;34;8;25;7;4;14;26;42;-16;25;16;2;-1;0;2;-1;0
16-Mar-20;Antalyaspor;Sivasspor;Ruud Boffin, Nazim Sangaré, Ondrej Celustka, Veysel Sari, Fedor Kudryashov, Hakan Özmert, Fredy Ribeiro, Sinan Gümüs, Lukas Podolski, Amilton, Adis Jahovic;Mamadou Samassa, Marcelo Goiano, Aaron Appindangoyé, Caner Osmanpasa, Ugur Ciftçi, Hakan Arslan, Fatih Aksoy, Emre Kilinc, Mert Hakan Yandas, Yasin Öztekin, Mustapha Yatabaré;Dogukan Sinik, Delvin N'Dinga, Gustavo Blanco, Chico, Ufuk Akyol, Ferhat Kaplan, Eren Albayrak, Yekta Kurtulus, Ersan Gülüm, Bunyamin Balci;Arouna Koné, Erdogan Yesilyurt, Claudemir, Isaac Cofie, Paul Papp, Armin Djerlek, Baris Yardimci, Muammer Yildirim, Muhammet Jan Tuncer;1;0;0;4;17.0;111;112;287;288;5;5;143;144;6.400;5.011;6.680;4.452;6.715;4.640;7.021;4.007;17.545;17.100;23.545;16.778;35;14;42;27;77.78;88.89;77.78;55.56;6.547;6.798;15.083;15.083;49.708;46.542;80.667;74.750;12.167;8.333;14.583;22.667;16.000;15.750;6.833;5.833;10.583;9.333;35.000;35.000;3.000;2.000;6.604;6.853;13.426;14.541;45.793;47.102;77.102;74.760;11.352;7.974;15.561;22.026;18.154;16.259;6.071;5.878;9.945;9.744;34.500;34.000;2.000;1.000;6.737;6.690;10.667;19.667;44.567;55.567;75.000;82.333;7.667;9.333;15.333;18.667;17.667;16.000;7.667;5.333;9.333;6.667;13.000;7.000;1.000;0.000;6.732;6.712;10.000;15.167;42.917;48.750;75.000;75.333;8.000;8.000;14.666;18.167;19.167;17.166;6.000;5.333;8.166;8.500;10.000;6.500;1.000;0.000;25;6;9;10;28;43;-15;27;12;25;14;7;4;47;28;19;49;4;2;-1;0;2;-1;0
15-Mar-20;Galatasaray;Besiktas;Fernando Muslera, Mariano, Marcão, Ryan Donk, Marcelo Saracchi, Mario Lemina, Jean Michael Seri, Sofiane Feghouli, Younès Belhanda, Henry Onyekuru, Radamel Falcao;Loris Karius, Gökhan Gönül, Domagoj Vida, Víctor Ruiz, Caner Erkin, Atiba Hutchinson, Mohamed Elneny, Tyler Boyd, Kevin-Prince Boateng, Georges-Kévin Nkoudou, Burak Yilmaz;Emre Akbaba, Omer Bayram, Florin Andone, Jimmy Durmaz, Selcuk Inan, Okan Kocuk, Ahmet Yilmaz Calik, Sener Ozbayrakli, Yunus Akgun, Taylan Antalyali;Adem Ljajic, Jeremain Lens, Abdoulaye Diaby, Enzo Roco, Necip Uysal, Mehmet Umut Nayir, Utku Yuvakuran, Guven Yalcin, Ridvan Yilmaz, Kartal Kayra Yilmaz;0;0;0;4;16.0;113;114;289;290;5;5;144;145;6.749;4.650;6.709;4.742;6.939;4.177;6.845;4.283;17.727;17.700;19.909;20.100;28;24;39;28;88.89;88.89;94.44;77.78;6.978;6.594;13.923;12.750;61.938;60.975;85.615;84.333;12.846;10.167;16.000;14.333;14.692;12.250;5.538;5.250;11.538;9.000;26.000;32.000;1.000;2.000;6.875;6.754;13.295;14.144;59.323;61.645;84.766;84.051;11.465;10.930;16.834;15.474;13.721;13.702;5.061;6.317;10.727;8.692;32.500;35.000;2.500;1.500;7.127;6.667;13.667;14.667;60.233;63.100;87.333;85.667;9.000;11.333;12.333;13.000;16.333;11.667;5.333;4.667;10.333;10.333;5.000;3.000;0.000;0.000;7.065;6.797;14.167;16.834;58.016;64.383;86.166;84.500;10.166;12.500;13.166;13.166;14.333;12.500;5.167;6.500;8.500;8.666;7.500;5.500;0.500;0.000;25;14;7;4;44;20;24;49;3;25;13;4;8;40;32;8;43;6;2;-1;0;2;-1;0
15-Mar-20;Trabzonspor;Istanbul Basaksehir;Ugurcan Çakir, João Pereira, Gastón Campi, Manuel da Costa, Filip Novák, José Sosa, Abdulkadir Parmak, Abdülkadir Ömür, Anthony Nwakaeme, Caleb Ekuban, Alexander Sørloth;Fehmi Mert Günok, Júnior Caiçara, Carlos Ponck, Martin Skrtel, Gaël Clichy, Irfan Can Kahveci, Mahmut Tekdemir, Edin Visca, Danijel Aleksic, Fredrik Gulbrandsen, Demba Ba;Badou Ndiaye, Bilal Basacikoglu, Manoel, Seyed Majid Hosseini, John Obi Mikel, Abdurrahim Dursun, Hüseyin Türkmen, Erce Kardesler, Dogan Erdogan, Serkan Asan;Berkay Özcan, Mehmet Topal, Azubuike Okechukwu, Aziz Behich, Robinho, Eljero Elia, Gökhan Inler, Volkan Babacan, Muhammet Arslantas, Ugur Uçar;0;0;1;4;13.0;115;116;291;292;5;5;145;146;6.863;4.981;6.592;4.384;6.824;4.370;6.842;3.980;18.909;17.800;21.182;19.700;47;34;36;26;88.89;100.0;88.89;94.44;6.995;6.735;15.692;14.167;50.400;50.725;81.846;78.417;12.846;8.750;13.538;17.667;19.154;12.750;5.615;4.750;10.538;7.833;30.000;30.000;2.000;2.000;6.965;6.870;14.012;14.430;49.834;50.828;80.757;79.670;13.548;9.991;14.561;17.795;18.452;14.259;5.349;4.875;11.186;8.109;29.000;23.500;1.500;1.000;7.007;6.877;14.667;13.667;47.367;46.367;79.333;78.000;14.000;7.667;17.667;19.667;20.333;10.667;6.333;1.333;9.667;7.667;9.000;6.000;1.000;1.000;6.923;6.990;12.000;12.834;47.183;46.584;78.666;77.834;13.334;9.000;18.000;18.500;19.833;15.500;5.333;2.333;9.500;8.000;9.500;5.500;0.500;0.500;25;15;7;3;58;27;31;52;2;25;15;7;3;49;24;25;52;1;2;-1;0;2;-1;0
15-Mar-20;Kayserispor;Yeni Malatyaspor;Silviu Lung Jr., Zoran Kvrzic, Diego Angelo, Cristian Sapunaru, Emre Tasdemir, Gustavo Campanharo, Hasan Huseyin Acar, Bernard Mensah, Brice Dja Djédjé, Pedro Henrique, Muris Mesanovic;Fabien Farnolle, Issam Chebake, Arturo Mina, Mustafa Akbas, Sakib Aytac, Robin Yalcin, Afriyie Acquah, Murat Yildirim, Gökhan Töre, Moryke Fofana, Umut Bulut;Yasir Subasi, Ben Rienstra, Mario Situm, Aksel Aktas, Emre Demir, Cenk Sahin, Oguzhan Capar, Ismail Cipe, Mert Kula, Artem Kravets;Vidar Kjartansson, Remi Walter, Karim Hafez, Ghilane Chaalali, Yigithan Guveli, Ufuk Ceylan, Erkan Kas, Youssouf Ndayishimiye;1;1;1;4;10.5;117;118;293;294;0;5;146;147;6.253;4.835;6.247;4.571;6.233;4.313;6.194;4.817;16.455;17.600;20.727;14.250;21;12;12;11;55.56;22.22;55.56;11.11;6.666;6.605;13.833;10.077;48.350;50.238;79.250;79.769;10.917;10.615;17.667;16.385;17.167;15.000;5.500;4.154;9.750;9.308;44.000;42.000;3.000;6.000;6.505;6.673;11.416;11.830;47.837;54.515;80.317;80.343;10.189;11.766;14.911;16.484;17.238;14.209;4.558;4.619;9.491;10.529;35.000;33.500;3.000;4.000;6.780;6.367;13.667;8.333;53.600;46.800;85.333;78.000;16.667;8.333;15.333;15.000;14.333;13.000;5.333;4.333;9.333;10.667;11.000;10.000;0.000;1.000;6.635;6.457;13.500;10.000;51.150;53.166;85.333;81.166;15.167;12.000;13.000;16.166;14.000;13.834;4.667;4.500;9.666;12.667;8.000;8.000;0.000;1.000;25;4;7;14;26;61;-35;19;18;25;6;7;12;37;38;-1;25;15;2;-1;0;2;-1;0
14-Mar-20;Konyaspor;Fenerbahce;Ertugrul Taskiran, Omer Sahiner, Selim Ay, Ugur Demirok, Guilherme, Jens Jonsson, Levan Shengelia, Deni Milosevic, Amir Hadziahmetovic, Nejc Skubic, Riad Bajic;Harun Tekin, Mauricio Isla, Luiz Gustavo, Jailson, Hasan Ali Kaldirim, Emre, Mehmet Ekici, Miha Zajc, Tolga Cigerci, Garry Rodrigues, Vedat Muriqi;Ali Turan, Alper Uludag, Marko Jevtovic, Thuram, Erdon Daci, Paolo Hurtado, Robert Mak, Mucahit Atalay, Volkan Findikli, Ferhat Öztorun;Deniz Türüç, Mevlüt Erdinç, Ferdi Kadioglu, Murat Saglam, Simon Falette, Erten Ersu, Omer Faruk Beyaz, Osman Cetin, Cenk Alptekin;1;0;0;4;17.0;119;120;295;296;0;0;147;148;5.797;5.176;5.831;3.822;6.321;4.213;5.876;4.059;22.818;17.200;19.818;9.778;20;13;27;20;66.67;44.44;55.56;33.33;6.562;6.632;13.917;14.462;54.792;62.554;82.250;83.385;8.417;9.000;17.250;17.846;12.583;15.538;5.167;4.385;8.500;9.154;23.000;35.000;2.000;5.000;6.588;6.772;11.805;17.273;51.907;62.206;81.125;83.984;8.439;9.666;17.048;17.090;13.907;15.727;3.968;5.026;10.519;8.327;27.500;32.500;2.000;4.500;6.610;6.547;14.333;19.000;58.700;66.867;84.667;87.667;9.667;10.000;16.333;14.667;11.333;17.333;7.667;4.667;9.000;10.667;5.000;8.000;0.000;1.000;6.615;6.482;13.000;15.500;53.317;62.500;82.334;85.500;8.667;9.834;17.166;15.667;11.666;14.666;6.000;4.667;9.334;8.167;6.000;11.500;0.500;2.000;25;4;11;10;20;33;-13;23;17;25;11;7;7;46;33;13;40;7;2;-1;0;2;-1;0
14-Mar-20;Alanyaspor;Gaziantep FK;Marafona, Onur Bulut, Georgios Tzavellas, Steven Caulker, Fabrice N'Sakala, Salih Ucan, Ceyhun Gülselam, Efecan Karaca, Anastasios Bakasetas, Junior Fernandes, Papiss Demba Cissé;Günay Güvenc, Oguz Ceylan, Jean-Armel Kana-Biyik, Alin Tosca, Papy Djilobodji, Júnior Morais, Jefferson, Alexandru Maxim, Guray Vural, Olarenwaju Kayode, Kenan Özer;Emircan Altintas, Yacine Bammou, Djalma, Welinton, Juanfran, Musa Cagiran, Mustafa Pektemek, Cenk Gönen, Umut Günes, Kaan Kanak;Muhammet Demir, Souleymane Diarra, Patrick Twumasi, Raman Chibsah, Pawel Olkowski, Haydar Yilmaz, Furkan Soyalp, Kubilay Aktas, Ulas Zengin, Mehmet Erdem Ugurlu;1;0;0;4;14.0;121;122;297;298;5;9;148;149;6.411;5.041;6.548;4.650;6.542;5.023;6.661;4.233;23.909;17.500;20.727;21.800;45;24;35;16;22.22;44.44;38.89;55.56;6.991;6.536;18.385;10.917;49.862;40.175;77.077;75.083;12.846;9.083;20.231;12.833;17.462;15.750;5.615;4.583;9.923;10.083;23.000;29.000;1.000;1.000;6.854;6.591;16.109;11.574;47.797;43.753;74.413;76.657;10.923;9.041;20.491;12.994;17.690;15.298;5.808;4.946;9.962;9.619;28.500;34.500;1.000;2.000;6.713;6.473;15.000;16.000;47.133;41.800;77.667;78.333;10.000;8.333;19.000;9.333;17.333;14.667;4.667;7.000;7.000;9.000;6.000;6.000;1.000;0.000;6.668;6.707;15.000;15.000;45.983;42.284;75.500;78.000;10.834;8.166;19.666;11.500;17.666;15.000;4.500;6.500;9.334;8.334;7.500;7.000;0.500;0.000;25;11;7;7;43;25;18;40;6;25;8;8;9;36;40;-4;32;9;2;-1;0;2;-1;0
14-Mar-20;Denizlispor;Genclerbirligi;Adam Stachowiak, Zeki Yavru, Oguz Yilmaz, Mustafa Yumlu, Olcay Sahan, Ismail Aissati, Ogenyi Onazi, Hugo Rodallega, Recep Niyaz, Modou Barrow, Óscar Estupiñán;Kristoffer Nordfeldt, Ahmet Oguz, Zargo Toure, Flávio Ramos, Halil Pehlivan, Fabrício Baiano, Berat Özdemir, Giovanni Sio, Stéphane Sessegnon, Daniel Candeias, Mats Seuntjens;Özgür Cek, Muhammet Özkal, Tiago Lopes, Tolgahan Acar, Hüseyin Altintas, Sedat Sahinturk, Alihan Kalkan;Sami Gokhan Altiparmak, Ilker Karakas, Rahmetullah Berisbek, Sadio Diallo, Mattias Bjärsmyr, Erdem Özgenc, Ertac Özbir, Omer Tatlisu, Soner Dikmen, Burak Capkinoglu;1;0;0;4;11.0;123;124;299;300;5;5;149;150;6.099;3.943;6.165;4.057;6.567;4.281;6.479;3.913;22.455;16.000;21.273;14.100;19;12;16;15;55.56;55.56;50.0;44.44;6.612;6.570;12.250;12.833;50.958;45.550;78.667;78.000;8.667;10.500;19.083;12.333;14.917;15.917;6.083;5.667;9.333;8.833;27.000;26.000;0.000;4.000;6.606;6.604;10.856;13.494;46.468;47.159;77.026;77.808;7.872;10.558;16.887;14.628;13.959;15.459;5.080;5.526;9.398;9.801;31.500;37.000;1.000;3.000;6.743;6.560;17.333;12.000;57.400;43.500;84.000;77.667;6.000;8.333;17.000;11.667;12.667;17.000;10.000;8.333;12.000;8.333;4.000;7.000;0.000;0.000;6.662;6.620;13.833;13.834;51.300;47.584;81.666;79.000;8.000;11.000;15.334;14.834;11.834;15.166;7.167;7.333;10.666;9.000;5.000;10.500;0.000;0.000;25;7;7;11;25;34;-9;28;11;25;7;7;11;33;43;-10;28;10;2;-1;0;2;-1;0
13-Mar-20;Kasimpasa;Goztepe;Ramazan Kose, Mickael Tirpan, Zvonimir Sarlija, Yassine Meriah, Oussama Haddadi, Tarkan Serbest, Aytac Kara, Dieumerci Ndongala, Haris Hajradinovic, Mame Thiam, Bangaly-Fodé Koita;Beto, Lamine Gassama, Titi, Celso Borges, Berkan Emir, Andre Biyogo Poko, André Castro, Halil Akbunar, Márcio Mossoró, Zlatko Tripic, Kamil Wilczek;Yusuf Erdogan, Ricardo Quaresma, Jorge Fernandes, Dogucan Haspolat, Berk Cetin, Murat Can Yildiz, Cagtay Kurukalip, Ilhan Depe, Anil Koç, Gerard Gohou;Cameron Jerome, Yalcin Kayan, Stefano Napoleoni, Wallace Reis, Deniz Kadah, Eren Bilen, Murat Paluli, Hüseyin Bulut, Metin Yildirim, Mehmet Goktug Bakirbas;1;0;1;4;17.0;125;109;301;285;5;5;150;151;6.406;4.594;6.112;4.301;6.952;3.907;5.988;3.713;12.455;13.900;18.455;14.700;26;14;17;7;88.89;22.22;55.56;55.56;6.725;6.716;14.417;8.615;48.600;46.062;80.250;77.077;9.083;10.615;16.917;17.077;16.250;18.538;6.000;3.308;9.250;7.692;32.000;28.000;2.000;1.000;6.662;6.661;13.170;10.716;47.093;47.026;78.933;77.947;10.041;9.853;17.382;15.539;17.279;16.905;5.423;4.154;9.394;6.982;35.500;27.000;2.000;1.500;6.870;6.787;13.667;11.000;43.367;48.867;82.000;81.333;9.667;11.000;12.000;15.333;13.667;15.667;4.667;3.000;5.667;4.667;7.000;5.000;0.000;0.000;6.712;6.650;12.500;12.334;43.667;50.267;76.834;81.666;10.167;10.334;16.334;13.333;16.334;15.334;5.333;4.500;10.000;4.833;6.500;6.000;0.000;0.000;25;6;5;14;36;50;-14;23;16;24;9;7;8;29;28;1;34;8;2;-1;0;110;14;1
13-Mar-20;Ankaragucu;Rizespor;Ricardo Friedrich, Stelios Kitsiou, Ante Kulusic, Michal Pazdan, Atila Turan, Daniel Lukasik, Ricardo Faty, Konrad Michalak, Sedat Agcay, Gerson Rodrigues, Dever Orgill;Gökhan Akkan, Mykola Morozyuk, Montassar Talbi, Burak Albayrak, Dario Melnjak, Abdullah Durak, Ismaël Diomandé, Fernando Boldrin, Denys Harmash, Braian Samudio, Milan Skoda;Ilhan Parlak, Saba Lobzhanidze, Oscar Scarione, Aydin Karabulut, Orkan Cinar, Mahmut Akan, Cebrail Karayel, Alihan Kubalas, Korcan Celikay, Gelmin Rivas;Tunay Torun, Tarik Cetin, Yan Sasse, Ivanildo Fernandes, Amedej Vetrih, Orhan Ovacikli, Ogulcan Caglayan, Oguz Guctekin, Andriy Boryachuk, Alberk Koç;1;1;1;4;17.0;126;110;302;286;5;5;151;152;6.392;5.088;6.066;4.474;6.179;4.550;5.997;4.427;16.091;16.300;19.182;15.100;20;8;21;8;0.0;22.22;44.44;22.22;6.507;6.480;11.917;10.091;45.575;44.864;74.417;77.182;9.000;10.273;16.333;15.364;18.500;15.818;3.417;3.909;7.583;10.182;26.000;28.000;5.000;1.000;6.528;6.609;11.113;11.546;42.460;47.255;72.785;78.168;8.116;10.175;17.743;18.105;19.327;16.293;3.170;4.185;6.946;10.514;34.000;28.000;3.500;1.500;6.623;6.373;9.333;9.667;40.433;46.833;70.000;79.333;11.333;11.667;19.333;12.333;18.667;17.000;2.667;2.000;9.333;11.333;6.000;11.000;1.000;1.000;6.631;6.535;10.666;11.834;37.733;47.133;69.000;80.000;10.166;11.000;18.333;15.000;19.167;16.334;3.000;2.667;7.167;9.666;8.000;7.500;0.500;0.500;25;4;8;13;21;44;-23;20;17;24;7;4;13;25;40;-15;25;14;2;-1;0;109;8;2
11-Mar-20;Yeni Malatyaspor;Trabzonspor;Fabien Farnolle, Murat Yildirim, Arturo Mina, Robin Yalcin, Sakib Aytac, Umut Bulut, Afriyie Acquah, Mitchell Donald, Thievy, Gökhan Töre, Moryke Fofana;Ugurcan Çakir, Serkan Asan, Gastón Campi, Hüseyin Türkmen, Filip Novák, Abdülkadir Ömür, José Sosa, Abdulkadir Parmak, Anthony Nwakaeme, Caleb Ekuban, Alexander Sørloth;Erkan Kas, Ghilane Chaalali, Remi Walter, Yigithan Guveli, Ufuk Ceylan;Badou Ndiaye, John Obi Mikel, Bilal Basacikoglu, Seyed Majid Hosseini, João Pereira, Abdurrahim Dursun, Arda Akbulut, Erce Kardesler, Dogan Erdogan, Atakan Gündüz;2;1;1;4;17.0;118;115;294;291;3;13;152;153;6.312;4.045;6.583;4.951;6.318;3.687;6.155;4.517;20.273;15.600;19.091;15.300;19;11;43;32;22.22;77.78;11.11;88.89;6.773;6.920;14.273;12.273;59.055;49.736;80.727;79.727;12.818;14.545;16.273;15.909;12.545;16.182;5.091;5.000;10.545;11.455;22.000;26.000;2.000;1.000;6.689;6.957;12.175;13.982;54.647;50.068;80.248;80.787;11.716;13.695;16.329;14.724;13.773;17.668;4.623;5.308;9.927;10.997;32.000;28.000;4.000;1.500;6.583;6.830;13.667;10.000;62.433;51.800;83.333;78.333;15.667;13.000;16.333;17.333;12.000;11.333;6.333;5.333;10.333;7.667;4.000;9.000;2.000;1.000;6.475;6.918;11.000;12.334;54.617;49.584;80.666;78.833;12.000;13.500;15.666;17.500;12.500;15.833;5.333;5.833;10.500;8.667;7.000;9.000;1.500;1.000;24;6;7;11;36;35;1;25;13;24;14;7;3;55;26;29;49;2;117;18;2;116;1;1
09-Mar-20;Genclerbirligi;Antalyaspor;Kristoffer Nordfeldt, Ahmet Oguz, Zargo Toure, Flávio Ramos, Halil Pehlivan, Yasin Pehlivan, Berat Özdemir, Fabrício Baiano, Stéphane Sessegnon, Mats Seuntjens, Giovanni Sio;Ruud Boffin, Bunyamin Balci, Chico, Veysel Sari, Fedor Kudryashov, Delvin N'Dinga, Amilton, Hakan Özmert, Fredy Ribeiro, Lukas Podolski, Adis Jahovic;Ilker Karakas, Rahmetullah Berisbek, Erdem Özgenc, Sadio Diallo, Mattias Bjärsmyr, Ertac Özbir, Omer Tatlisu, Soner Dikmen, Mike van Beijnen, Sami Gokhan Altiparmak;Sinan Gümüs, Ufuk Akyol, Gustavo Blanco, Yekta Kurtulus, Ersan Gülüm, Eren Albayrak, Ferhat Kaplan, Nazim Sangaré, Dogukan Sinik, Paul Omo Mukairu;0;0;1;4;17.0;124;111;300;287;5;0;151;152;5.996;4.058;6.097;5.304;6.497;3.843;6.830;4.397;19.909;13.400;16.091;16.900;12;10;35;14;66.67;88.89;50.0;83.33;6.642;6.661;13.667;12.167;48.758;41.108;77.250;72.667;10.750;10.750;17.083;17.000;15.583;20.583;5.167;5.500;10.750;9.667;45.000;33.000;2.000;1.000;6.606;6.604;13.250;13.625;47.154;45.408;77.625;76.667;10.625;11.459;14.708;15.791;15.750;18.291;5.417;6.167;9.791;10.125;35.500;34.000;3.000;2.000;6.780;6.877;14.333;10.667;54.067;34.467;80.000;69.667;15.333;7.333;16.333;17.000;16.333;19.000;7.000;4.667;8.667;6.667;14.000;8.000;0.000;1.000;6.670;6.807;13.166;10.667;48.784;39.517;78.834;72.334;11.833;7.500;14.000;16.166;16.666;18.334;7.667;6.167;8.500;8.000;10.500;10.500;0.000;1.000;24;7;6;11;32;42;-10;27;11;24;6;8;10;27;42;-15;26;12;123;10;2;112;4;1
08-Mar-20;Sivasspor;Galatasaray;Mamadou Samassa, Marcelo Goiano, Aaron Appindangoyé, Caner Osmanpasa, Ugur Ciftçi, Hakan Arslan, Fatih Aksoy, Yasin Öztekin, Mert Hakan Yandas, Fernando, Mustapha Yatabaré;Fernando Muslera, Mariano, Marcão, Ryan Donk, Marcelo Saracchi, Mario Lemina, Sofiane Feghouli, Omer Bayram, Jean Michael Seri, Henry Onyekuru, Radamel Falcao;Arouna Koné, Emre Kilinc, Claudemir, Isaac Cofie, Paul Papp, Armin Djerlek, Baris Yardimci, Muammer Yildirim, Muhammet Jan Tuncer;Emre Akbaba, Adem Büyük, Younès Belhanda, Martin Linnes, Jimmy Durmaz, Selcuk Inan, Okan Kocuk, Ahmet Yilmaz Calik, Sener Ozbayrakli, Taylan Antalyali;0;1;1;4;16.0;112;113;288;289;5;0;153;154;6.618;4.552;6.872;4.724;7.091;4.148;7.309;4.377;22.727;15.667;17.091;18.500;41;26;30;22;66.67;100.0;55.56;100.0;6.932;6.758;14.333;12.818;48.508;56.182;74.917;83.909;7.833;10.000;22.583;17.818;16.667;12.273;5.917;4.455;10.250;9.909;32.000;37.000;0.000;4.000;6.865;6.868;14.708;13.370;47.525;59.060;74.834;84.762;8.083;11.423;22.625;16.909;16.209;13.482;5.875;4.997;9.791;10.724;33.500;31.500;1.000;2.500;6.773;7.133;15.333;14.667;48.367;54.367;70.667;84.000;6.333;9.333;24.667;15.000;19.000;10.333;5.333;5.000;10.667;5.667;6.000;10.000;0.000;1.000;6.732;7.130;17.500;14.167;51.967;57.300;76.500;85.666;7.833;9.166;21.667;13.666;17.500;13.333;5.333;5.167;8.667;8.000;6.500;7.500;0.000;0.500;24;14;6;4;45;26;19;48;4;24;14;6;4;42;18;24;48;3;111;12;2;114;5;1
