Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
07:00,Wuhan Zall,1,2,Hebei CFFC,Des 1 2019
07:00,Shanghai SIPG FC,6,0,Shenzhen FC,Des 1 2019
07:00,Guangzhou Evergrande,3,0,Shanghai Shenhua,Des 1 2019
07:00,Henan Jianye,1,0,Guangzhou R&F F.C.,Des 1 2019
07:00,Dalian Professional FC,2,0,Beijing Renhe,Des 1 2019
07:00,Beijing Guoan,3,2,Shandong Luneng,Des 1 2019
07:00,Tianjin Teda,2,0,Chongqing Lifan,Des 1 2019
07:00,Jiangsu Suning FC,2,0,Tianjin Tianhai,Des 1 2019
07:30,Beijing Renhe,1,4,Guangzhou R&F F.C.,Nov 1 2019
11:35,Shanghai Shenhua,1,2,Beijing Guoan,Nov 22 2019
11:35,Henan Jianye,2,1,Tianjin Tianhai,Nov 22 2019
11:35,Shandong Luneng,2,0,Chongqing Lifan,Nov 22 2019
11:35,Wuhan Zall,2,1,Guangzhou R&F F.C.,Nov 22 2019
07:30,Dalian Professional FC,3,3,Hebei CFFC,Nov 23 2019
07:30,Beijing Renhe,2,3,Jiangsu Suning FC,Nov 23 2019
07:30,Tianjin Teda,3,0,Shenzhen FC,Nov 23 2019
11:35,Guangzhou Evergrande,2,0,Shanghai SIPG FC,Nov 23 2019
11:35,Guangzhou R&F F.C.,1,4,Beijing Guoan,Nov 27 2019
11:35,Tianjin Tianhai,5,1,Dalian Professional FC,Nov 27 2019
11:35,Hebei CFFC,1,3,Guangzhou Evergrande,Nov 27 2019
11:35,Beijing Renhe,1,1,Shanghai SIPG FC,Nov 27 2019
11:35,Shandong Luneng,3,1,Tianjin Teda,Nov 27 2019
11:35,Chongqing Lifan,0,1,Wuhan Zall,Nov 27 2019
11:35,Shanghai Shenhua,1,3,Jiangsu Suning FC,Nov 27 2019
11:35,Shenzhen FC,3,3,Henan Jianye,Nov 27 2019
12:35,Beijing Renhe,1,4,Chongqing Lifan,Okt 13 2019
12:35,Shenzhen FC,2,3,Guangzhou Evergrande,Okt 18 2019
12:35,Tianjin Tianhai,3,1,Wuhan Zall,Okt 18 2019
10:30,Guangzhou R&F F.C.,1,3,Shandong Luneng,Okt 19 2019
12:35,Beijing Guoan,0,2,Shanghai SIPG FC,Okt 19 2019
08:30,Tianjin Teda,1,0,Beijing Renhe,Okt 20 2019
12:35,Shanghai Shenhua,2,1,Dalian Professional FC,Okt 20 2019
12:35,Jiangsu Suning FC,4,1,Hebei CFFC,Okt 20 2019
12:35,Henan Jianye,1,0,Chongqing Lifan,Okt 20 2019
12:35,Chongqing Lifan,1,0,Shanghai Shenhua,Okt 25 2019
08:30,Hebei CFFC,2,1,Guangzhou R&F F.C.,Okt 26 2019
12:35,Beijing Guoan,3,1,Tianjin Teda,Okt 26 2019
12:35,Shenzhen FC,4,4,Wuhan Zall,Okt 26 2019
07:30,Tianjin Tianhai,2,2,Beijing Renhe,Okt 27 2019
11:35,Shanghai SIPG FC,3,0,Dalian Professional FC,Okt 27 2019
11:35,Guangzhou Evergrande,2,2,Henan Jianye,Okt 27 2019
11:35,Jiangsu Suning FC,1,1,Shandong Luneng,Okt 27 2019
12:35,Jiangsu Suning FC,3,1,Guangzhou Evergrande,Sep 13 2019
12:35,Shandong Luneng,3,1,Shanghai SIPG FC,Sep 13 2019
12:35,Shenzhen FC,1,1,Beijing Guoan,Sep 13 2019
12:35,Guangzhou R&F F.C.,2,1,Tianjin Tianhai,Sep 14 2019
12:35,Henan Jianye,4,1,Hebei CFFC,Sep 14 2019
10:30,Shanghai Shenhua,0,3,Tianjin Teda,Sep 15 2019
12:35,Wuhan Zall,1,0,Dalian Professional FC,Sep 15 2019
12:35,Chongqing Lifan,1,2,Jiangsu Suning FC,Sep 20 2019
08:30,Dalian Professional FC,2,0,Shenzhen FC,Sep 21 2019
12:35,Shandong Luneng,2,2,Shanghai Shenhua,Sep 21 2019
12:35,Hebei CFFC,2,1,Tianjin Teda,Sep 21 2019
10:30,Tianjin Tianhai,0,3,Beijing Guoan,Sep 22 2019
12:35,Shanghai SIPG FC,2,1,Henan Jianye,Sep 22 2019
13:00,Guangzhou Evergrande,0,1,Wuhan Zall,Sep 22 2019
12:35,Shanghai Shenhua,2,1,Shenzhen FC,Sep 26 2019
12:35,Chongqing Lifan,1,3,Dalian Professional FC,Ago 2 2019
12:35,Shanghai Shenhua,2,2,Wuhan Zall,Ago 2 2019
12:35,Shenzhen FC,1,1,Beijing Renhe,Ago 2 2019
13:00,Guangzhou R&F F.C.,2,2,Jiangsu Suning FC,Ago 2 2019
13:00,Beijing Guoan,2,0,Hebei CFFC,Ago 2 2019
11:00,Tianjin Teda,2,0,Henan Jianye,Ago 3 2019
12:35,Shandong Luneng,0,3,Guangzhou Evergrande,Ago 3 2019
13:00,Shanghai SIPG FC,0,0,Tianjin Tianhai,Ago 3 2019
12:35,Guangzhou R&F F.C.,2,2,Shanghai SIPG FC,Ago 9 2019
12:35,Dalian Professional FC,2,2,Jiangsu Suning FC,Ago 9 2019
13:35,Henan Jianye,2,1,Beijing Renhe,Ago 9 2019
12:35,Hebei CFFC,0,3,Shandong Luneng,Ago 10 2019
12:35,Tianjin Teda,2,1,Wuhan Zall,Ago 10 2019
12:35,Chongqing Lifan,1,1,Tianjin Tianhai,Ago 11 2019
12:35,Beijing Guoan,1,3,Guangzhou Evergrande,Ago 11 2019
12:35,Jiangsu Suning FC,3,0,Henan Jianye,Ago 13 2019
12:35,Beijing Renhe,1,2,Hebei CFFC,Ago 14 2019
12:35,Shanghai SIPG FC,5,1,Tianjin Teda,Ago 14 2019
12:35,Shenzhen FC,4,0,Guangzhou R&F F.C.,Ago 14 2019
12:35,Guangzhou Evergrande,1,1,Chongqing Lifan,Ago 15 2019
12:35,Wuhan Zall,2,1,Shandong Luneng,Ago 15 2019
12:35,Tianjin Tianhai,2,2,Shanghai Shenhua,Ago 15 2019
12:35,Dalian Professional FC,0,2,Beijing Guoan,Ago 15 2019
12:35,Shanghai Shenhua,0,3,Guangzhou Evergrande,Jul 1 2019
12:35,Tianjin Tianhai,1,3,Guangzhou Evergrande,Jul 5 2019
12:35,Guangzhou R&F F.C.,4,2,Chongqing Lifan,Jul 6 2019
12:35,Beijing Guoan,3,0,Wuhan Zall,Jul 6 2019
12:35,Shanghai SIPG FC,3,1,Shanghai Shenhua,Jul 6 2019
10:30,Tianjin Teda,2,1,Jiangsu Suning FC,Jul 7 2019
12:35,Dalian Professional FC,3,1,Henan Jianye,Jul 7 2019
12:35,Hebei CFFC,1,1,Shenzhen FC,Jul 7 2019
12:35,Beijing Renhe,0,2,Shandong Luneng,Jul 7 2019
13:00,Beijing Guoan,4,1,Chongqing Lifan,Jul 10 2019
13:00,Tianjin Teda,0,3,Guangzhou Evergrande,Jul 11 2019
12:35,Dalian Professional FC,3,2,Guangzhou R&F F.C.,Jul 12 2019
12:35,Henan Jianye,3,2,Shandong Luneng,Jul 12 2019
12:35,Hebei CFFC,2,1,Shanghai Shenhua,Jul 12 2019
12:35,Beijing Renhe,0,2,Wuhan Zall,Jul 13 2019
12:35,Tianjin Tianhai,2,2,Shenzhen FC,Jul 13 2019
12:35,Jiangsu Suning FC,0,3,Shanghai SIPG FC,Jul 13 2019
11:00,Guangzhou R&F F.C.,2,1,Tianjin Teda,Jul 16 2019
12:35,Shanghai Shenhua,3,2,Henan Jianye,Jul 16 2019
13:00,Guangzhou Evergrande,4,1,Dalian Professional FC,Jul 16 2019
12:35,Shanghai SIPG FC,3,0,Hebei CFFC,Jul 17 2019
12:35,Shandong Luneng,2,1,Tianjin Tianhai,Jul 17 2019
12:35,Beijing Guoan,2,1,Beijing Renhe,Jul 17 2019
12:35,Shenzhen FC,0,2,Chongqing Lifan,Jul 17 2019
12:35,Wuhan Zall,1,1,Jiangsu Suning FC,Jul 17 2019
12:35,Guangzhou R&F F.C.,0,5,Guangzhou Evergrande,Jul 20 2019
12:35,Tianjin Teda,3,3,Dalian Professional FC,Jul 20 2019
11:00,Beijing Renhe,1,4,Shanghai Shenhua,Jul 21 2019
12:35,Shandong Luneng,3,0,Shenzhen FC,Jul 21 2019
12:35,Hebei CFFC,2,2,Tianjin Tianhai,Jul 21 2019
12:35,Henan Jianye,0,0,Wuhan Zall,Jul 21 2019
13:00,Chongqing Lifan,2,2,Shanghai SIPG FC,Jul 21 2019
13:00,Jiangsu Suning FC,1,0,Beijing Guoan,Jul 21 2019
10:30,Hebei CFFC,3,0,Chongqing Lifan,Jul 27 2019
12:35,Dalian Professional FC,1,0,Shandong Luneng,Jul 27 2019
12:35,Shanghai Shenhua,5,3,Guangzhou R&F F.C.,Jul 27 2019
12:35,Henan Jianye,1,0,Beijing Guoan,Jul 27 2019
12:35,Jiangsu Suning FC,2,0,Shenzhen FC,Jul 28 2019
12:35,Guangzhou Evergrande,3,0,Beijing Renhe,Jul 28 2019
12:35,Tianjin Tianhai,1,0,Tianjin Teda,Jul 28 2019
12:35,Wuhan Zall,1,1,Shanghai SIPG FC,Jul 28 2019
12:35,Beijing Renhe,2,0,Tianjin Tianhai,Jun 1 2019
12:35,Guangzhou R&F F.C.,2,2,Hebei CFFC,Jun 1 2019
12:35,Shandong Luneng,1,1,Jiangsu Suning FC,Jun 1 2019
12:35,Shanghai Shenhua,0,0,Chongqing Lifan,Jun 1 2019
12:35,Wuhan Zall,2,0,Shenzhen FC,Jun 1 2019
08:00,Dalian Professional FC,1,2,Shanghai SIPG FC,Jun 2 2019
12:35,Henan Jianye,2,5,Guangzhou Evergrande,Jun 2 2019
12:35,Tianjin Teda,1,2,Beijing Guoan,Jun 2 2019
12:35,Wuhan Zall,0,0,Henan Jianye,Jun 8 2019
11:00,Beijing Guoan,2,1,Shanghai Shenhua,Jun 14 2019
12:35,Chongqing Lifan,1,1,Shandong Luneng,Jun 14 2019
13:00,Shanghai SIPG FC,0,2,Guangzhou Evergrande,Jun 14 2019
12:35,Hebei CFFC,1,0,Dalian Professional FC,Jun 15 2019
12:35,Guangzhou R&F F.C.,3,4,Wuhan Zall,Jun 15 2019
12:35,Tianjin Tianhai,1,1,Henan Jianye,Jun 16 2019
12:35,Jiangsu Suning FC,4,1,Beijing Renhe,Jun 16 2019
12:35,Shenzhen FC,0,0,Tianjin Teda,Jun 16 2019
12:35,Jiangsu Suning FC,0,1,Shanghai Shenhua,Jun 21 2019
10:30,Beijing Guoan,3,2,Guangzhou R&F F.C.,Jun 22 2019
12:35,Guangzhou Evergrande,2,1,Hebei CFFC,Jun 22 2019
12:35,Shanghai SIPG FC,3,0,Beijing Renhe,Jun 22 2019
12:35,Tianjin Teda,2,1,Shandong Luneng,Jun 22 2019
12:35,Henan Jianye,1,0,Shenzhen FC,Jun 22 2019
08:30,Dalian Professional FC,2,2,Tianjin Tianhai,Jun 23 2019
12:35,Wuhan Zall,2,3,Chongqing Lifan,Jun 23 2019
12:35,Beijing Renhe,1,3,Dalian Professional FC,Jun 29 2019
12:35,Hebei CFFC,0,2,Wuhan Zall,Jun 29 2019
12:35,Guangzhou R&F F.C.,2,0,Henan Jianye,Jun 29 2019
12:35,Chongqing Lifan,1,0,Tianjin Teda,Jun 29 2019
12:35,Tianjin Tianhai,2,2,Jiangsu Suning FC,Jun 30 2019
12:35,Shandong Luneng,2,0,Beijing Guoan,Jun 30 2019
12:35,Shenzhen FC,0,1,Shanghai SIPG FC,Jun 30 2019
08:30,Wuhan Zall,1,1,Tianjin Teda,Mei 4 2019
